,Time,ID,value,private_data
142,2022-12-13 01:27:20.977,4,Chrome_WidgetWin_1,0
143,2022-12-13 01:27:20.977,5,\DISPLAY1,0
144,2022-12-13 01:27:23.977,5,\DISPLAY1,0
145,2022-12-13 01:27:23.977,4,MozillaWindowClass,0
146,2022-12-13 01:27:23.977,3,firefox.exe,0
147,2022-12-13 01:27:23.977,2,(81) YouTube — Mozilla Firefox,0
148,2022-12-13 01:27:33.609,2,League of Legends (TM) Client,0
149,2022-12-13 01:27:33.609,3,League of Legends.exe,0
150,2022-12-13 01:27:33.609,4,RiotWindowClass,0
151,2022-12-13 01:27:33.609,5,\DISPLAY1,0
152,2022-12-13 01:27:45.610,2,Nilah ARAM Build - U.GG Nilah Runes + Item Guide for ARAM — Mozilla Firefox,0
153,2022-12-13 01:27:45.610,3,firefox.exe,0
154,2022-12-13 01:27:45.610,4,MozillaWindowClass,0
155,2022-12-13 01:27:45.610,5,\DISPLAY1,0
156,2022-12-13 01:27:48.610,5,\DISPLAY1,0
157,2022-12-13 01:27:48.610,4,RiotWindowClass,0
158,2022-12-13 01:27:48.610,3,League of Legends.exe,0
159,2022-12-13 01:27:48.610,2,League of Legends (TM) Client,0
160,2022-12-13 01:31:39.624,2,Nilah ARAM Build - U.GG Nilah Runes + Item Guide for ARAM — Mozilla Firefox,0
161,2022-12-13 01:31:39.624,3,firefox.exe,0
162,2022-12-13 01:31:39.624,4,MozillaWindowClass,0
163,2022-12-13 01:31:39.624,5,\DISPLAY1,0
164,2022-12-13 01:31:42.624,5,\DISPLAY1,0
165,2022-12-13 01:31:42.624,2,League of Legends (TM) Client,0
166,2022-12-13 01:31:42.624,3,League of Legends.exe,0
167,2022-12-13 01:31:42.624,4,RiotWindowClass,0
168,2022-12-13 01:32:00.624,5,\DISPLAY1,0
169,2022-12-13 01:32:00.624,4,MozillaWindowClass,0
170,2022-12-13 01:32:00.624,2,"(81) AMD's Greedy Upsell: RX 7900 XT Review & Benchmarks vs. XTX, 4080, & More - YouTube — Mozilla Firefox",0
171,2022-12-13 01:32:00.624,3,firefox.exe,0
172,2022-12-13 01:32:03.625,4,RiotWindowClass,0
173,2022-12-13 01:32:03.625,2,League of Legends (TM) Client,0
174,2022-12-13 01:32:03.625,3,League of Legends.exe,0
175,2022-12-13 01:32:03.625,5,\DISPLAY1,0
