,Start,Value,Duration
1308,2022-12-14 14:34:24.567,chrome.exe,0 days 00:00:18.003000
1309,2022-12-14 14:34:42.570,Teams.exe,0 days 00:00:03
1310,2022-12-14 14:34:45.570,Discord.exe,0 days 00:00:21.003000
1311,2022-12-14 14:35:06.573,chrome.exe,0 days 00:00:57.009000
1312,2022-12-14 14:36:03.582,Discord.exe,0 days 00:00:15
1313,2022-12-14 14:36:18.582,chrome.exe,0 days 00:00:03.001000
1314,2022-12-14 14:36:21.583,Discord.exe,0 days 00:00:18.001000
1315,2022-12-14 14:36:39.584,chrome.exe,0 days 00:00:06.002000
1316,2022-12-14 14:36:45.586,Discord.exe,0 days 00:00:06.001000
1317,2022-12-14 14:36:51.587,chrome.exe,0 days 00:00:21.002000
1318,2022-12-14 14:37:12.589,Discord.exe,0 days 00:00:03.001000
1319,2022-12-14 14:37:15.590,chrome.exe,0 days 00:01:24.009000
1320,2022-12-14 14:38:39.599,Talkdesk.exe,0 days 00:00:06.001000
1321,2022-12-14 14:38:45.600,chrome.exe,0 days 00:01:06.010000
1322,2022-12-14 14:39:51.610,Discord.exe,0 days 00:00:03.001000
1323,2022-12-14 14:39:54.611,chrome.exe,0 days 00:00:12.001000
1324,2022-12-14 14:40:06.612,Discord.exe,0 days 00:00:15.002000
1325,2022-12-14 14:40:21.614,chrome.exe,0 days 00:00:15.001000
1326,2022-12-14 14:40:36.615,Discord.exe,0 days 00:01:24.011000
1327,2022-12-14 14:42:00.626,Talkdesk.exe,0 days 00:03:24.025000
1328,2022-12-14 14:45:24.651,Discord.exe,0 days 00:00:06.001000
1329,2022-12-14 14:45:30.652,chrome.exe,0 days 00:00:21.003000
1330,2022-12-14 14:45:51.655,ScreenClippingHost.exe,0 days 00:00:03
1331,2022-12-14 14:45:54.655,chrome.exe,0 days 00:00:09.003000
1332,2022-12-14 14:46:03.658,Discord.exe,0 days 00:00:27.003000
1333,2022-12-14 14:46:30.661,chrome.exe,0 days 00:00:33.004000
1334,2022-12-14 14:47:03.665,Discord.exe,0 days 00:00:21.003000
1335,2022-12-14 14:47:24.668,chrome.exe,0 days 00:00:18.004000
1336,2022-12-14 14:47:42.672,Discord.exe,0 days 00:00:18.003000
1337,2022-12-14 14:48:00.675,chrome.exe,0 days 00:00:06
1338,2022-12-14 14:48:06.675,Discord.exe,0 days 00:00:57.006000
1339,2022-12-14 14:49:03.681,chrome.exe,0 days 00:01:15.010000
1340,2022-12-14 14:50:18.691,Talkdesk.exe,0 days 00:00:06.001000
1341,2022-12-14 14:50:24.692,chrome.exe,0 days 00:00:42.005000
1342,2022-12-14 14:51:06.697,Talkdesk.exe,0 days 00:00:03.001000
1343,2022-12-14 14:51:09.698,chrome.exe,0 days 00:01:09.010000
1344,2022-12-14 14:52:18.708,Talkdesk.exe,0 days 00:00:03.001000
1345,2022-12-14 14:52:21.709,chrome.exe,0 days 00:00:24.004000
1346,2022-12-14 14:52:45.713,Discord.exe,0 days 00:00:42.004000
1347,2022-12-14 14:53:27.717,chrome.exe,0 days 00:00:33.006000
1348,2022-12-14 14:54:00.723,Discord.exe,0 days 00:00:06
1349,2022-12-14 14:54:06.723,chrome.exe,0 days 00:00:03
1350,2022-12-14 14:54:09.723,Discord.exe,0 days 00:00:03.001000
1351,2022-12-14 14:54:12.724,Talkdesk.exe,0 days 00:00:03
1352,2022-12-14 14:54:15.724,chrome.exe,0 days 00:00:09.002000
1353,2022-12-14 14:54:24.726,Talkdesk.exe,0 days 00:00:06
1354,2022-12-14 14:54:30.726,chrome.exe,0 days 00:00:03.001000
1355,2022-12-14 14:54:33.727,Talkdesk.exe,0 days 00:00:12.003000
1356,2022-12-14 14:54:45.730,chrome.exe,0 days 00:00:39.006000
1357,2022-12-14 14:55:24.736,Talkdesk.exe,0 days 00:00:03.001000
1358,2022-12-14 14:55:27.737,chrome.exe,0 days 00:00:18.001000
1359,2022-12-14 14:55:45.738,Discord.exe,0 days 00:00:09.001000
1360,2022-12-14 14:55:54.739,chrome.exe,0 days 00:01:03.010000
1361,2022-12-14 14:56:57.749,Discord.exe,0 days 00:00:09.001000
1362,2022-12-14 14:57:06.750,chrome.exe,0 days 00:00:33.004000
1363,2022-12-14 14:57:39.754,Talkdesk.exe,0 days 00:02:48.025000
1364,2022-12-14 15:00:27.779,chrome.exe,0 days 00:03:06.025000
1365,2022-12-14 15:03:33.804,Discord.exe,0 days 00:00:06.001000
1366,2022-12-14 15:03:39.805,chrome.exe,0 days 00:00:30.004000
1367,2022-12-14 15:04:09.809,Discord.exe,0 days 00:02:06.016000
1368,2022-12-14 15:06:15.825,chrome.exe,0 days 00:00:57.008000
1369,2022-12-14 15:07:12.833,Discord.exe,0 days 00:00:12.002000
