MEASUREMENT_TIME,VALUE
2022-12-13 18:10:09.155,Discord.exe
2022-12-13 18:11:24.167,chrome.exe
2022-12-13 18:11:27.168,Discord.exe
2022-12-13 18:11:30.169,chrome.exe
2022-12-13 18:12:06.174,Discord.exe
2022-12-13 18:12:09.175,chrome.exe
2022-12-13 18:12:48.180,Discord.exe
2022-12-13 18:13:00.181,ScreenClippingHost.exe
2022-12-13 18:13:03.181,Discord.exe
2022-12-13 18:13:09.182,explorer.exe
2022-12-13 18:13:12.183,msedge.exe
2022-12-13 18:13:24.184,Discord.exe
2022-12-13 18:13:33.184,chrome.exe
2022-12-13 18:13:39.185,Discord.exe
2022-12-13 18:14:24.190,chrome.exe
2022-12-13 18:14:30.190,firefox.exe
2022-12-13 18:14:54.194,Discord.exe
2022-12-13 18:15:03.195,msedge.exe
2022-12-13 18:15:18.196,explorer.exe
2022-12-13 18:15:24.198,Talkdesk.exe
2022-12-13 18:15:36.200,firefox.exe
2022-12-13 18:15:54.203,chrome.exe
2022-12-13 18:16:09.206,Talkdesk.exe
2022-12-13 18:16:12.207,Discord.exe
2022-12-13 18:16:18.208,Talkdesk.exe
2022-12-13 18:17:39.219,chrome.exe
2022-12-13 18:17:42.220,Discord.exe
2022-12-13 18:17:48.220,Talkdesk.exe
2022-12-13 18:17:51.220,Discord.exe
2022-12-13 18:18:00.222,chrome.exe
2022-12-13 18:18:06.224,Talkdesk.exe
2022-12-13 18:18:09.225,chrome.exe
2022-12-13 18:18:15.225,Talkdesk.exe
2022-12-13 18:18:42.229,chrome.exe
2022-12-13 18:20:09.240,Discord.exe
2022-12-13 18:20:30.242,chrome.exe
2022-12-13 18:20:42.243,Discord.exe
2022-12-13 18:20:54.245,chrome.exe
2022-12-13 18:21:00.246,Discord.exe
2022-12-13 18:21:27.250,chrome.exe
2022-12-13 18:21:33.251,Discord.exe
2022-12-13 18:21:36.251,chrome.exe
2022-12-13 18:21:51.254,Discord.exe
2022-12-13 18:22:00.256,chrome.exe
2022-12-13 18:22:12.257,Teams.exe
2022-12-13 18:22:24.259,chrome.exe
2022-12-13 18:23:03.265,Teams.exe
2022-12-13 18:23:21.266,explorer.exe
2022-12-13 18:23:24.266,Teams.exe
2022-12-13 18:23:27.266,Discord.exe
2022-12-13 18:23:30.266,Teams.exe
2022-12-13 18:23:42.269,chrome.exe
2022-12-13 18:23:45.269,Teams.exe
2022-12-13 18:24:27.274,ScreenClippingHost.exe
2022-12-13 18:24:30.275,Teams.exe
2022-12-13 18:27:45.297,chrome.exe
2022-12-13 18:28:15.301,Talkdesk.exe
2022-12-13 18:28:18.302,chrome.exe
2022-12-13 18:28:45.307,Talkdesk.exe
2022-12-13 18:29:03.309,chrome.exe
2022-12-13 18:31:18.325,Talkdesk.exe
2022-12-13 18:31:30.326,chrome.exe
2022-12-13 18:32:33.332,Teams.exe
2022-12-13 18:32:36.333,chrome.exe
2022-12-13 18:32:42.334,Talkdesk.exe
2022-12-13 18:32:57.335,chrome.exe
2022-12-13 18:33:00.336,Talkdesk.exe
2022-12-13 18:33:06.336,chrome.exe
2022-12-13 18:34:06.343,Talkdesk.exe
2022-12-13 18:34:09.344,chrome.exe
2022-12-13 18:34:21.345,Talkdesk.exe
2022-12-13 18:34:24.345,chrome.exe
2022-12-13 18:34:30.346,Talkdesk.exe
2022-12-13 18:34:33.346,chrome.exe
2022-12-13 18:35:15.354,Talkdesk.exe
2022-12-13 18:35:18.354,chrome.exe
2022-12-13 18:36:30.366,Talkdesk.exe
2022-12-13 18:36:33.366,chrome.exe
2022-12-13 18:37:03.370,Talkdesk.exe
2022-12-13 18:37:09.371,chrome.exe
2022-12-13 18:38:09.378,Teams.exe
2022-12-13 18:38:12.378,chrome.exe
2022-12-13 18:39:24.387,Discord.exe
2022-12-13 18:39:30.387,Teams.exe
2022-12-13 18:39:45.388,chrome.exe
2022-12-13 18:39:51.389,Teams.exe
2022-12-13 18:40:09.392,OUTLOOK.EXE
2022-12-13 18:40:12.392,chrome.exe
2022-12-13 18:40:15.392,Discord.exe
2022-12-13 18:40:39.396,OUTLOOK.EXE
2022-12-13 18:40:42.396,Discord.exe
2022-12-13 18:41:27.401,chrome.exe
2022-12-13 18:41:33.402,Discord.exe
2022-12-13 18:41:42.403,chrome.exe
2022-12-13 18:41:57.404,firefox.exe
2022-12-13 18:42:27.409,SearchApp.exe
2022-12-13 18:42:30.409,explorer.exe
2022-12-13 18:42:33.410,firefox.exe
2022-12-13 18:42:36.411,obs64.exe
2022-12-13 18:43:03.413,firefox.exe
2022-12-13 18:43:09.414,obs64.exe
2022-12-13 18:43:15.415,explorer.exe
2022-12-13 18:43:18.416,obs64.exe
2022-12-13 18:43:33.418,explorer.exe
2022-12-13 18:43:39.420,firefox.exe
2022-12-13 18:43:42.420,ShellExperienceHost.exe
2022-12-13 18:43:48.421,chrome.exe
2022-12-13 18:44:00.421,firefox.exe
2022-12-13 18:44:03.422,obs64.exe
2022-12-13 18:44:15.423,chrome.exe
2022-12-13 18:44:18.424,explorer.exe
2022-12-13 18:44:24.424,chrome.exe
2022-12-13 18:44:33.426,explorer.exe
2022-12-13 18:44:36.426,chrome.exe
2022-12-13 18:44:54.429,obs64.exe
2022-12-13 18:45:33.434,explorer.exe
2022-12-13 18:45:57.435,vlc.exe
2022-12-13 18:46:03.437,explorer.exe
2022-12-13 18:46:06.437,vlc.exe
2022-12-13 18:46:21.439,explorer.exe
2022-12-13 18:46:24.440,vlc.exe
2022-12-13 18:46:27.441,explorer.exe
2022-12-13 18:46:30.442,vlc.exe
2022-12-13 18:46:33.442,explorer.exe
2022-12-13 18:46:36.442,vlc.exe
2022-12-13 18:46:42.443,explorer.exe
2022-12-13 18:46:45.443,vlc.exe
2022-12-13 18:46:48.443,obs64.exe
2022-12-13 18:47:06.446,firefox.exe
2022-12-13 18:47:12.447,Discord.exe
2022-12-13 18:47:24.448,chrome.exe
2022-12-13 18:47:27.449,Teams.exe
2022-12-13 18:47:30.449,chrome.exe
2022-12-13 18:50:36.475,Teams.exe
2022-12-13 18:50:39.476,chrome.exe
2022-12-13 18:50:48.477,Discord.exe
2022-12-13 18:50:51.478,chrome.exe
2022-12-13 18:51:09.480,Discord.exe
2022-12-13 18:51:12.480,vpnui.exe
2022-12-13 18:51:15.481,Discord.exe
2022-12-13 18:51:18.481,Talkdesk.exe
2022-12-13 18:59:39.550,Teams.exe
2022-12-13 18:59:48.550,chrome.exe
2022-12-13 19:01:54.570,OUTLOOK.EXE
2022-12-13 19:01:57.570,chrome.exe
2022-12-13 19:02:03.571,Talkdesk.exe
2022-12-13 19:02:06.571,chrome.exe
2022-12-13 19:09:45.628,Talkdesk.exe
2022-12-13 19:09:48.628,Discord.exe
2022-12-13 19:09:54.630,firefox.exe
2022-12-13 19:10:00.631,chrome.exe
2022-12-13 19:10:09.632,firefox.exe
2022-12-13 19:10:33.635,chrome.exe
2022-12-13 19:10:36.635,Discord.exe
2022-12-13 19:10:42.636,Teams.exe
2022-12-13 19:10:48.636,chrome.exe
2022-12-13 19:11:09.639,firefox.exe
2022-12-13 19:11:12.639,Discord.exe
2022-12-13 19:11:15.640,chrome.exe
2022-12-13 19:11:24.642,Discord.exe
2022-12-13 19:11:27.642,chrome.exe
2022-12-13 19:11:30.642,Teams.exe
2022-12-13 19:11:33.643,chrome.exe
2022-12-13 19:12:12.648,Talkdesk.exe
2022-12-13 19:12:15.648,chrome.exe
2022-12-13 19:16:57.684,Talkdesk.exe
2022-12-13 19:17:54.695,chrome.exe
2022-12-13 19:17:57.696,Discord.exe
2022-12-13 19:18:06.696,chrome.exe
2022-12-13 19:18:30.700,Talkdesk.exe
2022-12-13 19:18:33.700,chrome.exe
2022-12-13 19:18:39.701,Talkdesk.exe
2022-12-13 19:18:42.702,chrome.exe
2022-12-13 19:20:39.718,Talkdesk.exe
2022-12-13 19:20:45.718,chrome.exe
2022-12-13 19:21:27.723,Discord.exe
2022-12-13 19:21:45.725,chrome.exe
2022-12-13 19:23:15.735,Discord.exe
2022-12-13 19:23:18.736,chrome.exe
2022-12-13 19:23:27.737,Talkdesk.exe
2022-12-13 19:23:30.737,chrome.exe
2022-12-13 19:23:48.739,Discord.exe
2022-12-13 19:24:00.741,chrome.exe
